Timestamp,State,Duration,Total Idle Time,Total Movement Time,Average Idle Time,Average Movement Time
2024-07-02 17:52:25.506962,Movement,0,0,0,0,0
2024-07-02 17:52:32.641630,Idle,7.13,7.13,0,7.13,0
2024-07-02 17:52:33.763794,Movement,1.12,7.13,1.12,7.13,0.0
2024-07-02 17:52:40.428359,Idle,6.66,13.79,1.12,6.895,0.0
2024-07-02 17:52:41.551277,Movement,1.12,13.79,2.24,6.895,0.56
2024-07-02 17:52:44.290932,Idle,2.74,16.53,2.24,5.510000000000001,0.56
2024-07-02 17:52:45.413317,Movement,1.12,16.53,3.3600000000000003,5.510000000000001,0.7466666666666667
2024-07-02 17:52:49.316108,Idle,3.9,20.43,3.3600000000000003,5.1075,0.7466666666666667
2024-07-02 17:52:50.439397,Movement,1.12,20.43,4.48,5.1075,0.8400000000000001
2024-07-02 17:53:12.727034,Idle,22.29,42.72,4.48,8.544,0.8400000000000001
2024-07-02 17:53:13.848975,Movement,1.12,42.72,5.6000000000000005,8.544,0.8960000000000001
2024-07-02 17:53:16.906672,Idle,3.06,45.78,5.6000000000000005,7.63,0.8960000000000001
2024-07-02 17:53:18.029291,Movement,1.12,45.78,6.720000000000001,7.63,0.9333333333333335
2024-07-02 17:53:21.351182,Idle,3.32,49.1,6.720000000000001,7.014285714285714,0.9333333333333335
2024-07-02 17:53:22.473236,Movement,1.12,49.1,7.840000000000001,7.014285714285714,0.9600000000000001
2024-07-02 17:53:26.619039,Idle,4.15,53.25,7.840000000000001,6.65625,0.9600000000000001
2024-07-02 17:53:27.741117,Movement,1.12,53.25,8.96,6.65625,0.9800000000000001
2024-07-02 17:53:30.309222,Idle,2.57,55.82,8.96,6.202222222222222,0.9800000000000001
2024-07-02 17:53:31.431184,Movement,1.12,55.82,10.080000000000002,6.202222222222222,0.9955555555555556
2024-07-02 18:00:03.929260,Idle,392.5,448.32,10.080000000000002,44.832,0.9955555555555556
2024-07-02 18:00:05.047437,Movement,1.12,448.32,11.200000000000003,44.832,1.0080000000000002
2024-07-02 18:00:07.306869,Idle,2.26,450.58,11.200000000000003,40.96181818181818,1.0080000000000002
2024-07-02 18:00:08.427103,Movement,1.12,450.58,12.320000000000004,40.96181818181818,1.0181818181818185
2024-07-02 18:00:10.867092,Idle,2.44,453.02,12.320000000000004,37.751666666666665,1.0181818181818185
2024-07-02 18:00:11.988284,Movement,1.12,453.02,13.440000000000005,37.751666666666665,1.026666666666667
2024-07-02 18:00:14.562942,Idle,2.57,455.59,13.440000000000005,35.04538461538461,1.026666666666667
2024-07-02 18:00:15.683341,Movement,1.12,455.59,14.560000000000006,35.04538461538461,1.0338461538461543
2024-07-02 18:00:27.128171,Idle,11.44,467.03,14.560000000000006,33.35928571428571,1.0338461538461543
2024-07-02 18:00:28.247528,Movement,1.12,467.03,15.680000000000007,33.35928571428571,1.0400000000000005
2024-07-02 18:00:30.756184,Idle,2.51,469.53999999999996,15.680000000000007,31.302666666666664,1.0400000000000005
2024-07-02 18:00:31.877813,Movement,1.12,469.53999999999996,16.800000000000008,31.302666666666664,1.045333333333334
2024-07-02 18:00:36.027477,Idle,4.15,473.68999999999994,16.800000000000008,29.605624999999996,1.045333333333334
2024-07-02 18:00:37.148241,Movement,1.12,473.68999999999994,17.92000000000001,29.605624999999996,1.0500000000000005
2024-07-02 18:00:40.097884,Idle,2.95,476.63999999999993,17.92000000000001,28.037647058823524,1.0500000000000005
2024-07-02 18:00:41.219025,Movement,1.12,476.63999999999993,19.04000000000001,28.037647058823524,1.054117647058824
2024-07-02 18:02:26.278242,Idle,105.06,581.6999999999999,19.04000000000001,32.31666666666666,1.054117647058824
2024-07-02 18:02:27.398523,Movement,1.12,581.6999999999999,20.16000000000001,32.31666666666666,1.0577777777777784
2024-07-02 18:02:30.182436,Idle,2.78,584.4799999999999,20.16000000000001,30.76210526315789,1.0577777777777784
2024-07-02 18:02:31.303323,Movement,1.12,584.4799999999999,21.280000000000012,30.76210526315789,1.061052631578948
2024-07-02 18:06:38.134805,Idle,246.83,831.31,21.280000000000012,41.5655,1.061052631578948
2024-07-02 18:06:39.069029,Movement,0.93,831.31,22.21000000000001,41.5655,1.0640000000000005
2024-07-02 18:06:41.319593,Idle,2.25,833.56,22.21000000000001,39.69333333333333,1.0640000000000005
2024-07-02 18:06:42.441166,Movement,1.12,833.56,23.330000000000013,39.69333333333333,1.0576190476190481
2024-07-02 18:06:45.341938,Idle,2.9,836.4599999999999,23.330000000000013,38.020909090909086,1.0576190476190481
2024-07-02 18:06:46.463200,Movement,1.12,836.4599999999999,24.450000000000014,38.020909090909086,1.060454545454546
2024-07-02 18:06:49.543145,Idle,3.08,839.54,24.450000000000014,36.50173913043478,1.060454545454546
2024-07-02 18:06:50.664123,Movement,1.12,839.54,25.570000000000014,36.50173913043478,1.0630434782608702
